Date,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,y
2023-02-05-18:57:27,0.330253754043952,0.480052147991955,0.06565808551386,0.765301063191146,0.742800654610619,0.366308769211173,0.616248306585476,0.527852876344696,0.5001013323199,0.236104998271912,0.154164594598114,0.849023859121423
2023-02-05-18:58:50,0.46631439612247,0.223904256010428,0.626570705324411,0.714376633986831,0.739948583999649,0.783756612800062,0.259168971795589,0.838297450216487,0.80139639088884,0.323486328590661,0.82612382620573,0.600196739836121
2023-02-05-18:59:06,0.880406989250332,0.793067932594568,0.558573669753969,0.0917299594730139,0.115305388346314,0.792663381434977,0.995612233877182,0.434604883659631,0.13094204897061,0.373044773703441,0.765830359654501,1.2660811812518
2023-02-05-18:59:56,0.112925915047526,0.935174187412485,0.0641889413818717,0.980163148371503,0.316016941331327,0.370692760217935,0.680025456938893,0.900288694072515,0.0408985549584031,0.736112140119076,0.22440272080712,1.73595409287006
2023-02-05-19:00:08,0.573977135820314,0.18778121820651,0.212106715654954,0.274268032284454,0.748145227087662,0.291101043578237,0.71802949369885,0.213211456779391,0.654814671492204,0.471027970314026,0.700719337677583,0.90984257324103
2023-02-05-19:01:23,0.75340929813683,0.93970516207628,0.929428853094578,0.217046811478212,0.444358689244837,0.175134058110416,0.48817880358547,0.122854692395777,0.327944961609319,0.697906343033537,0.130129802739248,2.22825763365888
2023-02-05-19:01:31,0.0102935016620904,0.310567749198526,0.898639845196158,0.559975915122777,0.109640629729256,0.661562311463058,0.242315167561173,0.31141050090082,0.755678397603333,0.966260013403371,0.450566318118945,0.0227563238868492
2023-02-05-19:01:41,0.50240564183332,0.796064314665273,0.385105455992743,0.683020369615406,0.48856029426679,0.906978602753952,0.791497530881315,0.36824640375562,0.370660412823781,0.346614531008527,0.834027460543439,1.45142026377716
2023-02-05-19:01:55,0.945116196991876,0.854075129376724,0.804309065919369,0.82641507871449,0.51540517504327,0.349137433804572,0.75465666432865,0.486687337979674,0.777147657703608,0.523616384482011,0.231577224563807,-0.194089195510271
2023-02-05-19:02:08,0.133312059799209,0.875859433785081,0.518107586540282,0.928697808180004,0.77892731456086,0.51010028924793,0.920484015718102,0.962446344085038,0.527476714923978,0.0429623052477837,0.491534008877352,0.670821774162379
